REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,12618
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,International students,2739
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,"Not reported, status of student in Canada",18
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,30
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Gender unknown,International students,3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,13524
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,International students,15177
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,"Not reported, status of student in Canada",12
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,19677
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,International students,11313
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,"Not reported, status of student in Canada",18
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,57
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Gender unknown,International students,15
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Male gender,Canadian students,558
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Male gender,International students,576
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,Canadian students,849
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,International students,1209
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,"Not reported, status of student in Canada",0
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Gender unknown,Canadian students,6
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,4314
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,4095
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,1242
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,International students,1713
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,6
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Gender unknown,International students,3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,23052
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,11214
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,"Not reported, status of student in Canada",18
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,3363
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,2637
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,33
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,1191
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,402
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,"Not reported, status of student in Canada",0
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,939
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,405
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Gender unknown,Canadian students,9
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,Canadian students,5250
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,International students,1029
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,Canadian students,16104
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,International students,2631
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,"Not reported, status of student in Canada",9
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Gender unknown,Canadian students,39
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,6783
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,1413
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,"Not reported, status of student in Canada",9
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,6501
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,1290
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,"Not reported, status of student in Canada",9
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,27
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Gender unknown,International students,3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Other  [12],Male gender,Canadian students,168
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Other  [12],Male gender,International students,24
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Other  [12],Female gender,Canadian students,129
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Other  [12],Female gender,International students,39
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Other  [12],Gender unknown,Canadian students,3
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Unclassified,Male gender,Canadian students,1197
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Unclassified,Male gender,International students,402
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Unclassified,Female gender,Canadian students,861
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Unclassified,Female gender,International students,276
2018/2019,Ontario,College,Full-time student,Short-cycle tertiary education,Unclassified,Gender unknown,Canadian students,24
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,78
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,1359
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,156
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,"Not reported, status of student in Canada",105
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,1959
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,258
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,"Not reported, status of student in Canada",303
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Gender unknown,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,45
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,441
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,81
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,1728
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,183
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,6
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,International students,0
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,2136
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,564
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,1686
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,573
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,0
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,International students,0
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,30
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,12
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,63
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,18
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,783
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,132
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,207
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,69
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,0
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,573
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,60
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,198
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,42
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,1107
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,15
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,4881
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,114
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Gender unknown,Canadian students,9
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Gender unknown,International students,0
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,573
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,9
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,699
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,International students,39
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Other  [12],Male gender,Canadian students,174
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Other  [12],Male gender,International students,15
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Other  [12],Female gender,Canadian students,201
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Other  [12],Female gender,International students,15
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,Canadian students,36
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,International students,3
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,Canadian students,66
2018/2019,Ontario,College,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,International students,3
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,International students,60
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,International students,45
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,Canadian students,18
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,International students,15
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,Canadian students,39
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,International students,18
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,Canadian students,366
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,International students,39
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,Canadian students,279
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,International students,24
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,International students,57
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,Canadian students,3
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,International students,573
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,Canadian students,33
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,International students,12
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,Canadian students,24
2018/2019,Ontario,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,International students,12
2018/2019,Ontario,College,Part-time student,Upper secondary education,Personal improvement and leisure [0],Female gender,Canadian students,0
2018/2019,Ontario,College,Part-time student,Upper secondary education,Humanities [3],Male gender,Canadian students,0
2018/2019,Ontario,College,Part-time student,Upper secondary education,Humanities [3],Male gender,International students,36
2018/2019,Ontario,College,Part-time student,Upper secondary education,Humanities [3],Female gender,Canadian students,6
2018/2019,Ontario,College,Part-time student,Upper secondary education,Humanities [3],Female gender,International students,39
2018/2019,Ontario,College,Part-time student,Upper secondary education,Social and behavioural sciences and law [4],Male gender,Canadian students,0
2018/2019,Ontario,College,Part-time student,Upper secondary education,Social and behavioural sciences and law [4],Female gender,Canadian students,0
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Business, management and public administration [5]",Male gender,Canadian students,6
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Business, management and public administration [5]",Female gender,Canadian students,21
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,0
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,6
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,0
2018/2019,Ontario,College,Part-time student,Upper secondary education,Health and related fields [10],Female gender,Canadian students,24
2018/2019,Ontario,College,Part-time student,Upper secondary education,Health and related fields [10],Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,3
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,9
2018/2019,Ontario,College,Part-time student,Upper secondary education,"Personal, protective and transportation services [11]",Female gender,International students,3
2018/2019,Ontario,College,Part-time student,Upper secondary education,Other  [12],Male gender,Canadian students,24
2018/2019,Ontario,College,Part-time student,Upper secondary education,Other  [12],Male gender,"Not reported, status of student in Canada",18
2018/2019,Ontario,College,Part-time student,Upper secondary education,Other  [12],Female gender,Canadian students,21
2018/2019,Ontario,College,Part-time student,Upper secondary education,Other  [12],Female gender,"Not reported, status of student in Canada",12
2018/2019,Ontario,College,Part-time student,Upper secondary education,Unclassified,Male gender,Canadian students,216
2018/2019,Ontario,College,Part-time student,Upper secondary education,Unclassified,Male gender,International students,21
2018/2019,Ontario,College,Part-time student,Upper secondary education,Unclassified,Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Upper secondary education,Unclassified,Female gender,Canadian students,273
2018/2019,Ontario,College,Part-time student,Upper secondary education,Unclassified,Female gender,International students,9
2018/2019,Ontario,College,Part-time student,Upper secondary education,Unclassified,Female gender,"Not reported, status of student in Canada",9
2018/2019,Ontario,College,Part-time student,Upper secondary education,Unclassified,Gender unknown,Canadian students,3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Male gender,Canadian students,18
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Male gender,International students,384
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Female gender,Canadian students,18
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Female gender,International students,546
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Education [1],Male gender,Canadian students,42
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Education [1],Male gender,International students,0
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Education [1],Female gender,Canadian students,243
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Education [1],Female gender,International students,3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Education [1],Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,204
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,15
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,240
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,12
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,"Not reported, status of student in Canada",0
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,0
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,Canadian students,600
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,International students,249
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,Canadian students,699
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,International students,240
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,"Not reported, status of student in Canada",51
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,Canadian students,3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,International students,3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,258
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,International students,57
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,1272
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,International students,48
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,"Not reported, status of student in Canada",21
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,1548
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,International students,633
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,2361
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,International students,444
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,"Not reported, status of student in Canada",21
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,0
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Gender unknown,International students,6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Male gender,Canadian students,18
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Male gender,International students,6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Female gender,Canadian students,27
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Female gender,International students,6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,204
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,69
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,342
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,International students,36
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,"Not reported, status of student in Canada",0
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,1185
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,585
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,"Not reported, status of student in Canada",249
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,150
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,54
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,"Not reported, status of student in Canada",12
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,45
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,9
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,48
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,Canadian students,393
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,International students,57
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,Canadian students,1842
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,International students,111
